video_url,transcript_summary,misinfo_label,misinfo_reason,treatment_mentioned,is_aad_approved
https://www.tiktok.com/@dr.mamina/video/7255679807080385835,"# Summary

The video recommends a tiered skincare approach: start with salicylic acid products for mild clogged pores, then add over-the-counter retinoids like Adapalene (Differin), and incorporate benzoyl peroxide if inflammatory acne develops—but avoid using all products simultaneously.",no,Recommends AAD-approved treatment only,"salicylic acid, differin, adapalene",yes
https://www.tiktok.com/@kiki.13521/video/7627904891175832864,"# Summary

The creator shares they've developed severe cystic acne again and plan to start Accutane despite its side effects, as their emotional distress from the acne has become so severe that it's affecting their mental health and relationships. They also defend against common skincare myths, noting that makeup isn't the cause of their acne problem.",no,Recommends AAD-approved treatment only,accutane,yes
https://www.tiktok.com/@maddimccormack/video/7624571357644328214,"# Summary

The video argues that acne is actually beneficial because it's your body's way of detoxifying and eliminating internal toxins through the skin, making it easier to identify health issues compared to people whose bodies express problems internally through diseases like Crohn's or arthritis. Rather than trying to eliminate acne, you should be grateful for it as a diagnostic tool that reveals what's wrong with your diet and lifestyle.",partial,Discusses acne but no specific verifiable treatment claim found,none,na
https://www.tiktok.com/@kennedyfaris/video/7628699150405602591,"# Summary

A board-certified dermatologist recommends salicylic acid cleansers for congested skin, mandelic acid for sensitive skin, retinoids (adapalene for beginners or prescription versions for stubborn cases), and azelaic acid to address acne-related dark spots and redness. These products work by penetrating pores and treating texture at different levels depending on skin sensitivity and severity.",no,Recommends AAD-approved treatment only,"salicylic acid, azelaic acid, adapalene",yes
https://www.tiktok.com/@kiki.13521/video/7607481167566114070,"# Summary

The video recommends a three-step acne treatment regimen: benzoyl peroxide (under 6%) in the morning, adapalene (a retinoid) at night, and topical melatonin mixed with the adapalene to reduce hormonal acne and minimize skin dryness. This combination addresses bacterial growth, skin cell turnover, and the androgen activity that typically drives teenage acne.",no,Recommends AAD-approved treatment only,"adapalene, benzoyl peroxide",yes
https://www.tiktok.com/@she.want.ayden/video/7627270311901236511,"# Summary

The creator recommends using Band-Aid Hydro Seal hydrocolloid gel bandages ($3 at Walmart) as a budget-friendly alternative to expensive acne patches, claiming they effectively reduce white-head acne overnight when applied to dry skin.",partial,Discusses acne but no specific verifiable treatment claim found,none,na
https://www.tiktok.com/@kimcassironway/video/7628232466133781774,"# Summary

The video distinguishes between decorative pimple patches (which only cover blemishes) and hydrocolloid patches (which actively draw out pus), then recommends a money-saving hack: buying hydrocolloid rolls from drugstores and cutting them into custom patches instead of buying pre-made pimple patch products.",partial,Discusses acne but no specific verifiable treatment claim found,none,na
https://www.tiktok.com/@parker_dam/video/7624780272793357599,"# Summary

A dermatologist recommends using warm compresses throughout the day and applying a sulfur-based acne mask (5% sulfur) to the affected area and surrounding skin twice daily as an at-home treatment for severe acne, emphasizing the importance of not popping pimples.",no,Recommends AAD-approved treatment only,sulfur,yes
https://www.tiktok.com/@ej.health/video/7625745641091697933,"# Summary

The video claims that dilute leech baths are an effective, affordable dermatological treatment for back and body acne and folliculitis because they help eliminate staph bacteria from the skin.",yes,Promotes non-AAD treatment: leech bath,leech bath,no
https://www.tiktok.com/@lifewithmils/video/7619647885335989525,"# Summary

For urgent cystic acne before an event, dermatologists can inject diluted kenalog (a steroid) directly into the lesion to reduce inflammation and pressure within 24-48 hours, though improper dilution risks skin atrophy. However, this is only a temporary fix and seeing a dermatologist for a long-term management plan is essential, especially for hormonal acne.",partial,Discusses acne but no specific verifiable treatment claim found,none,na
